model,test_id,input_words,output_sentence,time_seconds
Qwen2.5-1.5B-4bit,1,"assalomu_alaykum, bahor, bosh_kiyim, boshlanish","Assalomu_alaykum, Bahor, Bosh_kiyim, Boshlanish.",1.34
Qwen2.5-1.5B-4bit,2,"ovqat_tayyorlash, restoran, mehribon, likopcha",Oshxonida oshlik qorlik,1.01
Qwen2.5-1.5B-4bit,3,"iltimos, yordam_berish, qidirish, kitob, javob","Iltimos, yordam_berish, qidirish, kitobni oshxonada tayyorlayman.",1.01
Qwen2.5-1.5B-4bit,4,"bahor, qish, yomg'ir, qor, toza",Qonun tozadan qon,1.0
Qwen2.5-1.5B-4bit,5,"ovqat_tayyorlash, restoran, bozor, pomidor, kartoshka",,1.01
Qwen2.5-1.5B-4bit,6,"ochish, yopish, o'ynash, turish, mehmonxona, metro, poezd","O'ynashcha ko'rsat, metroga o'ynash, o'zgarotga o'ynash, o'zgarotga turish, mehmonxona ko'rsat, o'z",1.01
Alloma-1B-Instruct,1,"assalomu_alaykum, bahor, bosh_kiyim, boshlanish","Assalomu alaykum, bahor boshlang'ichlari!",5.2
Alloma-1B-Instruct,2,"ovqat_tayyorlash, restoran, mehribon, likopcha",Men ovqat tayyorlashni yaxshi ko'radigan restoranda mehribon va foydali ofitsiantlarga ega bo'lgan likopchali qulay taomlarni qidiryapman.,6.08
Alloma-1B-Instruct,3,"iltimos, yordam_berish, qidirish, kitob, javob","Iltimos, menga kitob topishda yordam bera olasizmi?",5.13
Alloma-1B-Instruct,4,"bahor, qish, yomg'ir, qor, toza",Bahor - bu qishning sovuq va yomg'irli kunlaridan keyin keladigan iliq va quyoshli vaqt.,4.9
Alloma-1B-Instruct,5,"ovqat_tayyorlash, restoran, bozor, pomidor, kartoshka",Men restoranda pomidor va kartoshkani yaxshi ko'raman.,4.83
Alloma-1B-Instruct,6,"ochish, yopish, o'ynash, turish, mehmonxona, metro, poezd",Men metroda poezdga o'tirdim va mehmonxonaga o'tirdim. Men kitob o'qidim va oshxonada ovqat tayyorladim.,6.3
Llama-3.3-70B,1,"assalomu_alaykum, bahor, bosh_kiyim, boshlanish","Assalomu alaykum, bahor boshlanganda bosh_kiyim kiyishning hojati qolmaydi.",1.0
Llama-3.3-70B,2,"ovqat_tayyorlash, restoran, mehribon, likopcha",Mehribon xonim restoranda ovqat tayyorlash uchun likopchadan foydalanadi.,0.41
Llama-3.3-70B,3,"iltimos, yordam_berish, qidirish, kitob, javob","Iltimos, meni kitob qidirishda yordam bering, u menga javob topishda yordam beradi.",0.4
Llama-3.3-70B,4,"bahor, qish, yomg'ir, qor, toza","Bahorda qor erib, yomg'ir yog'ishi tufayli hamma narsa toza bo'lib qoladi.",0.4
Llama-3.3-70B,5,"ovqat_tayyorlash, restoran, bozor, pomidor, kartoshka",Men restoranda ovqat tayyorlash uchun bozordan pomidor va kartoshka sotib olaman.,0.33
Llama-3.3-70B,6,"ochish, yopish, o'ynash, turish, mehmonxona, metro, poezd","Mehmonxona eshiklari ochiladi, lekin metro va poezd uchun darvozalar yopiladi, chunki ular turish joyi emas, balki odamlarni o",0.54
